rho,beta,alpha_BO,alpha_MNNE,alpha_LR_BO,alpha_LR_MNNE
0.23,1,0.4071,0.6235856313704671,0.885,1.3556209377618849
0.231,1,0.408639,0.625222280611099,0.8845,1.3532949796777034
0.232,1,0.41017600000000004,0.6268531556676974,0.884,1.3509766285941753
0.233,1,0.411711,0.6284782777220814,0.8835,1.3486658320216338
0.234,1,0.413244,0.630097667817065,0.8829999999999999,1.3463625380706516
0.235,1,0.414775,0.6317113468580462,0.8825000000000001,1.3440666954426514
0.236,1,0.416304,0.6333193356145732,0.8820000000000001,1.3417782534207061
0.237,1,0.41783099999999995,0.6349216547218846,0.8815,1.339497161860516
0.238,1,0.419356,0.636518324682428,0.881,1.3372233711815715
0.239,1,0.420879,0.6381093658673538,0.8805000000000001,1.3349568323584808
0.24,1,0.4224,0.6396947985179843,0.88,1.3326974969124672
0.241,1,0.42391899999999993,0.6412746427472661,0.8795,1.3304453169030417
0.242,1,0.425436,0.642848918541192,0.879,1.3282002449198183
0.243,1,0.426951,0.6444176457602097,0.8785000000000001,1.3259622340745054
0.244,1,0.428464,0.645980844140603,0.878,1.3237312379930388
0.245,1,0.42997499999999994,0.6475385332958552,0.8775,1.3215072108078678
0.246,1,0.431484,0.6490907327179926,0.877,1.3192901071503913
0.247,1,0.432991,0.6506374617789057,0.8765000000000001,1.3170798821435339
0.248,1,0.434496,0.6521787397316524,0.876,1.3148764913944606
0.249,1,0.43599899999999997,0.6537145857117413,0.8755,1.3126798909874324
0.25,1,0.4375,0.6552450187383962,0.875,1.3104900374767925
0.251,1,0.43899900000000003,0.6567700577158028,0.8745,1.3083068878800852
0.252,1,0.440496,0.6582897214343355,0.874,1.3061303996713005
0.253,1,0.44199099999999997,0.6598040285717678,0.8734999999999999,1.3039605307742446
0.254,1,0.443484,0.6613129976944655,0.873,1.3017972395560344
0.255,1,0.444975,0.6628166472585606,0.8725,1.299640484820707
0.256,1,0.446464,0.66431499561111,0.872,1.297490225802949
0.257,1,0.447951,0.6658080609912373,0.8714999999999999,1.2953464221619404
0.258,1,0.449436,0.6672958615312585,0.871,1.2932090339753073
0.259,1,0.450919,0.6687784152577909,0.8705,1.291078021733187
0.26,1,0.4524,0.6702557400928473,0.87,1.2889533463323986
0.261,1,0.453879,0.6717278538549124,0.8694999999999999,1.2868349690707133
0.262,1,0.45535600000000004,0.6731947742600088,0.869,1.2847228516412381
0.263,1,0.45683100000000004,0.6746565189227441,0.8685,1.2826169561268899
0.264,1,0.45830400000000004,0.6761131053573435,0.868,1.2805172449949687
0.265,1,0.459775,0.677564550978669,0.8674999999999999,1.2784236810918281
0.266,1,0.46124400000000004,0.6790108731032269,0.867,1.2763362276376446
0.267,1,0.46271100000000004,0.6804520889501573,0.8665,1.2742548482212683
0.268,1,0.46417600000000003,0.6818882156422106,0.866,1.272179506795169
0.269,1,0.46563899999999997,0.6833192702067148,0.8654999999999999,1.2701101676704736
0.27,1,0.4671,0.6847452695765244,0.865,1.268046795512082
0.271,1,0.46855900000000006,0.6861662305909598,0.8645,1.2659893553338741
0.272,1,0.47001600000000004,0.6875821699967315,0.864,1.2639378124939917
0.273,1,0.471471,0.6889931044488549,0.8634999999999999,1.2618921326902104
0.274,1,0.472924,0.6903990505115505,0.863,1.259852281955384
0.275,1,0.47437500000000005,0.6918000246591318,0.8625,1.257818226652967
0.276,1,0.475824,0.6931960432768834,0.862,1.2557899334726148
0.277,1,0.477271,0.694587122661926,0.8614999999999999,1.253767369425859
0.278,1,0.47871600000000003,0.6959732790240694,0.861,1.2517505018418513
0.279,1,0.48015900000000006,0.6973545284866564,0.8605,1.2497392983631834
0.28,1,0.48160000000000003,0.6987308870873935,0.86,1.247733726941774
0.281,1,0.483039,0.7001023707791718,0.8594999999999999,1.2457337558348252
0.282,1,0.48447599999999996,0.7014689954308766,0.859,1.2437393536008452
0.283,1,0.485911,0.7028307768281872,0.8585,1.2417504890957372
0.284,1,0.48734399999999994,0.7041877306743659,0.858,1.2397671314689542
0.285,1,0.48877499999999996,0.7055398725910369,0.8575,1.2377892501597139
0.286,1,0.490204,0.7068872181189547,0.857,1.2358168148932775
0.287,1,0.491631,0.7082297827187638,0.8565,1.233849795677289
0.288,1,0.49305599999999994,0.7095675817717476,0.856,1.231888162798173
0.289,1,0.494479,0.7109006305805682,0.8555,1.2299318868175921
0.29,1,0.49589999999999995,0.7122289443699971,0.855,1.2279809385689606
0.291,1,0.497319,0.7135525382876368,0.8545,1.2260352891540152
0.292,1,0.49873599999999996,0.7148714274046309,0.854,1.2240949099394367
0.293,1,0.500151,0.7161856267163701,0.8535,1.2221597725535327
0.294,1,0.501564,0.7174951511431847,0.8530000000000001,1.2202298488829673
0.295,1,0.502975,0.7188000155310308,0.8524999999999999,1.2183051110695438
0.296,1,0.5043839999999999,0.7201002346521682,0.852,1.2163855315070409
0.297,1,0.505791,0.721395823205828,0.8515,1.2144710828380942
0.298,1,0.507196,0.7226867958188743,0.851,1.2125617379511313
0.299,1,0.508599,0.723973167046456,0.8505,1.2106574699773511
0.3,1,0.51,0.7252549513726514,0.8500000000000001,1.2087582522877525
0.301,1,0.511399,0.7265321632111064,0.8495000000000001,1.20686405849021
0.302,1,0.5127959999999999,0.7278048169056601,0.8489999999999999,1.2049748624265897
0.303,1,0.514191,0.7290729267309691,0.8484999999999999,1.203090638169916
0.304,1,0.5155839999999999,0.7303365068931206,0.8479999999999999,1.20121136002158
0.305,1,0.516975,0.7315955715302368,0.8474999999999999,1.199337002508585
0.306,1,0.5183639999999999,0.7328501347130775,0.8469999999999999,1.1974675403808455
0.307,1,0.519751,0.7341002104456282,0.8464999999999999,1.1956029486085151
0.308,1,0.5211359999999999,0.7353458126656883,0.8459999999999999,1.1937432023793642
0.309,1,0.5225190000000001,0.7365869552454467,0.8455000000000001,1.191888277096192
0.31,1,0.5239,0.7378236519920548,0.8450000000000001,1.190038148374282
0.311,1,0.525279,0.7390559166481881,0.8445000000000001,1.1881927920388877
0.312,1,0.526656,0.7402837628926072,0.844,1.186352184122768
0.313,1,0.528031,0.7415072043407069,0.8435,1.1845163008637491
0.314,1,0.529404,0.742726254545061,0.843,1.1826851187023264
0.315,1,0.530775,0.7439409269959619,0.8425,1.1808586142793047
0.316,1,0.532144,0.7451512351219506,0.8419999999999999,1.179036764433466
0.317,1,0.5335110000000001,0.7463571922903459,0.8415000000000001,1.1772195461992838
0.318,1,0.534876,0.7475588118077606,0.841,1.1754069368046551
0.319,1,0.536239,0.7487561069206176,0.8405,1.1735989136686795
0.32,1,0.5376,0.7499490908156579,0.84,1.1717954543994653
0.321,1,0.5389590000000001,0.7511377766204426,0.8395000000000001,1.1699965367919667
0.322,1,0.540316,0.7523221774038481,0.839,1.168202138825851
0.323,1,0.541671,0.7535023061765594,0.8385,1.1664122386634046
0.324,1,0.543024,0.7546781758915534,0.8379999999999999,1.164626814647459
0.325,1,0.544375,0.7558497994445793,0.8375,1.1628458452993526
0.326,1,0.545724,0.7570171896746329,0.837,1.1610693093169215
0.327,1,0.5470710000000001,0.7581803593644268,0.8365000000000001,1.159297185572518
0.328,1,0.548416,0.7593393212408528,0.836,1.157529453111056
0.329,1,0.549759,0.7604940879754413,0.8354999999999999,1.155766091148087
0.33,1,0.5511,0.7616446721848138,0.835,1.1540070790678996
0.331,1,0.552439,0.7627910864311346,0.8345,1.1522523964216533
0.332,1,0.553776,0.7639333432225501,0.8340000000000001,1.1505020229255272
0.333,1,0.555111,0.7650714550136309,0.8335,1.1487559384589052
0.334,1,0.556444,0.7662054342058044,0.8330000000000001,1.1470141230625814
0.335,1,0.557775,0.7673352931477838,0.8325,1.1452765569369907
0.336,1,0.559104,0.7684610441359931,0.832,1.1435432204404659
0.337,1,0.560431,0.7695826994149867,0.8315,1.1418140940875172
0.338,1,0.561756,0.7707002711778643,0.831,1.1400891585471364
0.339,1,0.563079,0.7718137715666835,0.8304999999999999,1.138368394641126
0.34,1,0.5644,0.7729232126728717,0.83,1.1366517833424583
0.341,1,0.5657190000000001,0.774028606537599,0.8295,1.1349393057736055
0.342,1,0.567036,0.7751299651522199,0.829,1.1332309432049998
0.343,1,0.568351,0.7762273004586392,0.8285,1.1315266770534098
0.344,1,0.569664,0.7773206243497071,0.828,1.1298264888803882
0.345,1,0.570975,0.7784099486696037,0.8275000000000001,1.12813036039073
0.346,1,0.5722839999999999,0.7794952852142214,0.827,1.126438273430956
0.347,1,0.573591,0.7805766457315427,0.8265,1.1247502099878137
0.348,1,0.574896,0.7816540419220108,0.826,1.1230661521867973
0.349,1,0.576199,0.7827274854389007,0.8255000000000001,1.1213860822906887
0.35,1,0.5774999999999999,0.7837969878886845,0.825,1.1197099826981207
0.351,1,0.578799,0.7848625608313915,0.8245,1.1180378359421532
