rho,delta,beta,alpha,mmse,mse_ridge_opt
0.5,0.0,2.0,0.38,0.4494485310723767,0.62
1.0,0.0,2.0,0.38,0.5699418275828505,0.62
2.0,0.0,2.0,0.38,0.6057766369293439,0.62
0.1,0.0,2.0,0.385,0.0,0.615
0.2,0.0,2.0,0.385,0.0,0.615
0.5,0.0,2.0,0.385,0.4405742446824047,0.615
1.0,0.0,2.0,0.385,0.5637012256880986,0.615
2.0,0.0,2.0,0.385,0.6003887343883139,0.615
0.1,0.0,2.0,0.39,0.0,0.61
0.2,0.0,2.0,0.39,0.0,0.61
0.5,0.0,2.0,0.39,0.4316994298423841,0.61
1.0,0.0,2.0,0.39,0.5574597700525202,0.61
2.0,0.0,2.0,0.39,0.5949991298850587,0.61
0.1,0.0,2.0,0.395,0.0,0.605
0.2,0.0,2.0,0.395,0.0,0.605
0.5,0.0,2.0,0.395,0.4228252311805535,0.605
1.0,0.0,2.0,0.395,0.5512181336380186,0.605
2.0,0.0,2.0,0.395,0.5896080456958193,0.605
0.1,0.0,2.0,0.4,0.0,0.6
0.2,0.0,2.0,0.4,0.0,0.6
0.5,0.0,2.0,0.4,0.41395274000741733,0.6
1.0,0.0,2.0,0.4,0.5449769859562794,0.6
2.0,0.0,2.0,0.4,0.5842157055935397,0.6
0.1,0.0,2.0,0.405,0.0,0.595
0.2,0.0,2.0,0.405,0.0,0.595
0.5,0.0,2.0,0.405,0.40508296373176556,0.595
1.0,0.0,2.0,0.405,0.5387369929686188,0.595
2.0,0.0,2.0,0.405,0.5788223347320833,0.595
0.1,0.0,2.0,0.41,0.0,0.5900000000000001
0.2,0.0,2.0,0.41,0.0,0.5900000000000001
0.5,0.0,2.0,0.41,0.39621690689797506,0.5900000000000001
1.0,0.0,2.0,0.41,0.5324988170057406,0.5900000000000001
2.0,0.0,2.0,0.41,0.5734281595359486,0.5900000000000001
0.1,0.0,2.0,0.415,0.0,0.585
0.2,0.0,2.0,0.415,0.0,0.585
0.5,0.0,2.0,0.415,0.3873554656511321,0.585
1.0,0.0,2.0,0.415,0.5262631048207684,0.585
2.0,0.0,2.0,0.415,0.568033407595417,0.585
0.1,0.0,2.0,0.42,0.0,0.5800000000000001
0.2,0.0,2.0,0.42,0.0,0.5800000000000001
0.5,0.0,2.0,0.42,0.3784994816175973,0.5800000000000001
1.0,0.0,2.0,0.42,0.5200305438173833,0.5800000000000001
2.0,0.0,2.0,0.42,0.5626383075670658,0.5800000000000001
0.1,0.0,2.0,0.425,0.0,0.575
0.2,0.0,2.0,0.425,0.0,0.575
0.5,0.0,2.0,0.425,0.3696497247809001,0.575
1.0,0.0,2.0,0.425,0.5138017584401824,0.575
2.0,0.0,2.0,0.425,0.5572430890795643,0.575
0.1,0.0,2.0,0.43,0.0,0.5700000000000001
0.2,0.0,2.0,0.43,0.0,0.5700000000000001
0.5,0.0,2.0,0.43,0.36080688842523523,0.5700000000000001
1.0,0.0,2.0,0.43,0.5075773999574849,0.5700000000000001
2.0,0.0,2.0,0.43,0.5518479829427532,0.5700000000000001
0.1,0.0,2.0,0.435,0.0,0.565
0.2,0.0,2.0,0.435,0.0,0.565
0.5,0.0,2.0,0.435,0.3519715831372032,0.565
1.0,0.0,2.0,0.435,0.5013581111034344,0.565
2.0,0.0,2.0,0.435,0.5464532195771944,0.565
0.1,0.0,2.0,0.44,0.0,0.56
0.2,0.0,2.0,0.44,0.0,0.56
0.5,0.0,2.0,0.44,0.34314432989557386,0.56
1.0,0.0,2.0,0.44,0.4951445398686515,0.56
2.0,0.0,2.0,0.44,0.5410590319056117,0.56
0.1,0.0,2.0,0.445,0.0,0.5549999999999999
0.2,0.0,2.0,0.445,0.0,0.5549999999999999
0.5,0.0,2.0,0.445,0.33432555201219194,0.5549999999999999
1.0,0.0,2.0,0.445,0.48893731482447256,0.5549999999999999
2.0,0.0,2.0,0.445,0.5356656523076765,0.5549999999999999
0.1,0.0,2.0,0.45,0.0,0.55
0.2,0.0,2.0,0.45,0.0,0.55
0.5,0.0,2.0,0.45,0.32551556585418095,0.55
1.0,0.0,2.0,0.45,0.4827370721612467,0.55
2.0,0.0,2.0,0.45,0.530273314039786,0.55
0.1,0.0,2.0,0.455,0.0,0.5449999999999999
0.2,0.0,2.0,0.455,0.0,0.5449999999999999
0.5,0.0,2.0,0.455,0.3167145700486712,0.5449999999999999
1.0,0.0,2.0,0.455,0.476544444243452,0.5449999999999999
2.0,0.0,2.0,0.455,0.5248822425500392,0.5449999999999999
0.1,0.0,2.0,0.46,0.0,0.54
0.2,0.0,2.0,0.46,0.0,0.54
0.5,0.0,2.0,0.46,0.3079226329828292,0.54
1.0,0.0,2.0,0.46,0.4703600364210273,0.54
2.0,0.0,2.0,0.46,0.5194926944999445,0.54
0.1,0.0,2.0,0.465,0.0,0.5349999999999999
0.2,0.0,2.0,0.465,0.0,0.5349999999999999
0.5,0.0,2.0,0.465,0.29913963405178723,0.5349999999999999
1.0,0.0,2.0,0.465,0.46418449351606705,0.5349999999999999
2.0,0.0,2.0,0.465,0.5141048866200788,0.5349999999999999
0.1,0.0,2.0,0.47,0.0,0.53
0.2,0.0,2.0,0.47,0.0,0.53
0.5,0.0,2.0,0.47,0.29036538296385683,0.53
1.0,0.0,2.0,0.47,0.4580184254674229,0.53
2.0,0.0,2.0,0.47,0.508719056118861,0.53
0.1,0.0,2.0,0.475,0.0,0.525
0.2,0.0,2.0,0.475,0.0,0.525
0.5,0.0,2.0,0.475,0.28159942481762046,0.525
1.0,0.0,2.0,0.475,0.45186244717356927,0.525
2.0,0.0,2.0,0.475,0.5033354393959446,0.525
0.1,0.0,2.0,0.48,0.0,0.52
0.2,0.0,2.0,0.48,0.0,0.52
0.5,0.0,2.0,0.48,0.2728411140373852,0.52
1.0,0.0,2.0,0.48,0.4457171702942143,0.52
2.0,0.0,2.0,0.48,0.4979542809140205,0.52
0.1,0.0,2.0,0.485,0.0,0.515
0.2,0.0,2.0,0.485,0.0,0.515
