rho,delta,beta,alpha,mmse,mse_ridge_opt
0.2,0.0,2.0,0.465,0.0,0.5349999999999999
1.0,0.0,2.0,0.465,0.46418449351606705,0.5349999999999999
0.2,0.0,1.0,0.47,0.0,0.53
1.0,0.0,1.0,0.47,0.4897834044868704,0.53
0.2,0.0,2.0,0.47,0.0,0.53
1.0,0.0,2.0,0.47,0.4580184254674229,0.53
0.2,0.0,1.0,0.475,0.0,0.525
1.0,0.0,1.0,0.475,0.4840834028951857,0.525
0.2,0.0,2.0,0.475,0.0,0.525
1.0,0.0,2.0,0.475,0.45186244717356927,0.525
0.2,0.0,1.0,0.48,0.0,0.52
1.0,0.0,1.0,0.48,0.47838825435766263,0.52
0.2,0.0,2.0,0.48,0.0,0.52
1.0,0.0,2.0,0.48,0.4457171702942143,0.52
0.2,0.0,1.0,0.485,0.0,0.515
1.0,0.0,1.0,0.485,0.47269835485697287,0.515
0.2,0.0,2.0,0.485,0.0,0.515
1.0,0.0,2.0,0.485,0.43958320336517775,0.515
0.2,0.0,1.0,0.49,0.0,0.51
1.0,0.0,1.0,0.49,0.46701406294076186,0.51
0.2,0.0,2.0,0.49,0.0,0.51
1.0,0.0,2.0,0.49,0.433461151927685,0.51
0.2,0.0,1.0,0.495,0.0,0.505
1.0,0.0,1.0,0.495,0.4613358133022798,0.505
0.2,0.0,2.0,0.495,0.0,0.505
1.0,0.0,2.0,0.495,0.4273516186743782,0.505
0.2,0.0,1.0,0.5,0.0,0.5
1.0,0.0,1.0,0.5,0.4556639827828207,0.5
0.2,0.0,2.0,0.5,0.0,0.5
1.0,0.0,2.0,0.5,0.4212552036149593,0.5
0.2,0.0,1.0,0.505,0.0,0.495
1.0,0.0,1.0,0.505,0.4499989597551284,0.495
0.2,0.0,2.0,0.505,0.0,0.495
1.0,0.0,2.0,0.505,0.41517250426494534,0.495
0.2,0.0,1.0,0.51,0.0,0.49
1.0,0.0,1.0,0.51,0.44434113629788785,0.49
0.2,0.0,2.0,0.51,0.0,0.49
1.0,0.0,2.0,0.51,0.40910411586167716,0.49
0.2,0.0,1.0,0.515,0.0,0.485
1.0,0.0,1.0,0.515,0.43869088832138237,0.485
0.2,0.0,2.0,0.515,0.0,0.485
1.0,0.0,2.0,0.515,0.40305063161233934,0.485
0.2,0.0,1.0,0.52,0.0,0.48
1.0,0.0,1.0,0.52,0.4330486466736112,0.48
0.2,0.0,2.0,0.52,0.0,0.48
1.0,0.0,2.0,0.52,0.3970126125748088,0.48
0.2,0.0,1.0,0.525,0.0,0.475
1.0,0.0,1.0,0.525,0.42741475655772887,0.475
0.2,0.0,2.0,0.525,0.0,0.475
1.0,0.0,2.0,0.525,0.3909906902604722,0.475
0.2,0.0,1.0,0.53,0.0,0.47
1.0,0.0,1.0,0.53,0.4217896246865708,0.47
0.2,0.0,2.0,0.53,0.0,0.47
1.0,0.0,2.0,0.53,0.38498543242944094,0.47
0.2,0.0,1.0,0.535,0.0,0.46499999999999997
1.0,0.0,1.0,0.535,0.416173624829946,0.46499999999999997
0.2,0.0,2.0,0.535,0.0,0.46499999999999997
1.0,0.0,2.0,0.535,0.3789974231088715,0.46499999999999997
0.2,0.0,1.0,0.54,0.0,0.45999999999999996
1.0,0.0,1.0,0.54,0.41056717942661125,0.45999999999999996
0.2,0.0,2.0,0.54,0.0,0.45999999999999996
1.0,0.0,2.0,0.54,0.37302724472132287,0.45999999999999996
0.2,0.0,1.0,0.545,0.0,0.45499999999999996
1.0,0.0,1.0,0.545,0.4049709879144543,0.45499999999999996
0.2,0.0,2.0,0.545,0.0,0.45499999999999996
1.0,0.0,2.0,0.545,0.36707547826099496,0.45499999999999996
0.2,0.0,1.0,0.55,0.0,0.44999999999999996
1.0,0.0,1.0,0.55,0.39938444357417735,0.44999999999999996
0.2,0.0,2.0,0.55,0.0,0.44999999999999996
1.0,0.0,2.0,0.55,0.36114270347604027,0.44999999999999996
0.2,0.0,1.0,0.555,0.0,0.44499999999999995
1.0,0.0,1.0,0.555,0.3938088392076432,0.44499999999999995
0.2,0.0,2.0,0.555,0.0,0.44499999999999995
1.0,0.0,2.0,0.555,0.3552294990572237,0.44499999999999995
0.2,0.0,1.0,0.56,0.0,0.43999999999999995
1.0,0.0,1.0,0.56,0.388244386857755,0.43999999999999995
0.2,0.0,2.0,0.56,0.0,0.43999999999999995
1.0,0.0,2.0,0.56,0.3493364428332708,0.43999999999999995
0.2,0.0,1.0,0.565,0.0,0.43500000000000005
1.0,0.0,1.0,0.565,0.38269136313405094,0.43500000000000005
0.2,0.0,2.0,0.565,0.0,0.43500000000000005
1.0,0.0,2.0,0.565,0.34346411197339755,0.43500000000000005
0.2,0.0,1.0,0.57,0.0,0.43000000000000005
1.0,0.0,1.0,0.57,0.377150211863988,0.43000000000000005
0.2,0.0,2.0,0.57,0.0,0.43000000000000005
1.0,0.0,2.0,0.57,0.33761308319764427,0.43000000000000005
0.2,0.0,1.0,0.575,0.0,0.42500000000000004
1.0,0.0,1.0,0.575,0.3716212979928971,0.42500000000000004
0.2,0.0,2.0,0.575,0.0,0.42500000000000004
1.0,0.0,2.0,0.575,0.3317839329958471,0.42500000000000004
0.2,0.0,1.0,0.58,0.0,0.42000000000000004
1.0,0.0,1.0,0.58,0.36610500758140463,0.42000000000000004
0.2,0.0,2.0,0.58,0.0,0.42000000000000004
1.0,0.0,2.0,0.58,0.3259772378564084,0.42000000000000004
0.2,0.0,1.0,0.585,0.0,0.41500000000000004
1.0,0.0,1.0,0.585,0.36060173318927813,0.41500000000000004
0.2,0.0,2.0,0.585,0.0,0.41500000000000004
1.0,0.0,2.0,0.585,0.32019357450505936,0.41500000000000004
0.2,0.0,1.0,0.59,0.0,0.41000000000000003
1.0,0.0,1.0,0.59,0.35511185902575626,0.41000000000000003
0.2,0.0,2.0,0.59,0.0,0.41000000000000003
1.0,0.0,2.0,0.59,0.3144335201594114,0.41000000000000003
0.2,0.0,1.0,0.595,0.0,0.405
1.0,0.0,1.0,0.595,0.34963577404156754,0.405
0.2,0.0,2.0,0.595,0.0,0.405
1.0,0.0,2.0,0.595,0.30869765279429895,0.405
0.2,0.0,1.0,0.6,0.0,0.4
